iter	Passed	Remaining
432	1602	2098
433	1606	2094
434	1609	2090
435	1612	2085
436	1616	2082
437	1619	2077
438	1622	2073
439	1625	2068
440	1628	2063
441	1632	2060
442	1635	2056
443	1638	2051
444	1641	2047
445	1644	2042
446	1647	2038
447	1651	2035
448	1655	2031
449	1658	2026
450	1661	2022
451	1665	2018
452	1668	2014
453	1671	2010
454	1674	2005
455	1677	2001
456	1681	1998
457	1684	1993
458	1687	1989
459	1690	1984
460	1693	1980
461	1698	1977
462	1701	1973
463	1705	1970
464	1708	1966
465	1712	1962
466	1716	1959
467	1720	1955
468	1723	1951
469	1727	1947
470	1731	1944
471	1734	1940
472	1737	1935
473	1740	1931
474	1743	1927
475	1747	1924
476	1751	1920
477	1754	1916
478	1757	1911
479	1761	1908
480	1764	1903
481	1767	1899
482	1770	1895
483	1773	1890
484	1777	1887
485	1780	1883
486	1783	1878
487	1786	1874
488	1789	1870
489	1793	1866
490	1796	1862
491	1800	1858
492	1803	1854
493	1806	1850
494	1810	1847
495	1813	1843
496	1817	1838
497	1820	1834
498	1823	1830
499	1827	1827
500	1830	1822
501	1833	1818
502	1836	1814
503	1839	1810
504	1843	1806
505	1847	1803
506	1850	1798
507	1853	1794
508	1856	1791
509	1860	1787
510	1863	1782
511	1866	1778
512	1869	1774
513	1873	1771
514	1876	1767
515	1880	1763
516	1883	1759
517	1886	1755
518	1890	1752
519	1894	1748
520	1898	1745
521	1902	1742
522	1907	1739
523	1911	1735
524	1914	1732
525	1919	1729
526	1923	1726
527	1928	1723
528	1932	1720
529	1936	1716
530	1940	1714
531	1945	1711
532	1949	1707
533	1953	1704
534	1958	1702
535	1962	1698
536	1965	1694
537	1969	1691
538	1974	1688
539	1978	1685
540	1982	1681
541	1987	1679
542	1992	1676
543	1996	1673
544	1999	1669
545	2004	1666
546	2008	1663
547	2011	1659
548	2015	1655
549	2020	1653
550	2024	1649
551	2028	1645
552	2031	1642
553	2036	1639
554	2040	1635
555	2043	1632
556	2046	1627
557	2050	1624
558	2055	1621
559	2059	1618
560	2063	1614
561	2067	1611
562	2071	1607
563	2075	1604
564	2079	1600
565	2083	1597
566	2087	1594
567	2091	1590
568	2095	1587
569	2099	1583
570	2103	1580
571	2107	1576
572	2111	1573
573	2114	1569
574	2119	1566
575	2122	1562
576	2126	1559
577	2130	1555
578	2134	1552
579	2138	1548
580	2142	1545
581	2146	1541
582	2150	1538
583	2155	1535
584	2158	1531
585	2162	1527
586	2167	1524
587	2170	1520
588	2174	1517
589	2177	1513
590	2182	1510
591	2186	1506
592	2190	1503
593	2193	1499
594	2197	1496
595	2201	1492
596	2205	1488
597	2208	1484
598	2212	1481
599	2216	1477
600	2219	1473
601	2223	1469
602	2226	1466
603	2231	1462
604	2234	1459
605	2238	1455
606	2241	1451
607	2246	1448
608	2249	1444
609	2252	1440
610	2256	1436
611	2259	1432
612	2263	1429
613	2267	1425
614	2271	1421
615	2274	1417
616	2278	1414
617	2281	1410
618	2284	1406
619	2288	1402
620	2291	1398
621	2295	1395
622	2299	1391
623	2302	1387
624	2305	1383
625	2309	1379
626	2313	1376
627	2316	1372
628	2319	1368
629	2322	1364
630	2326	1360
631	2329	1356
632	2333	1352
633	2336	1348
634	2339	1344
635	2343	1340
636	2346	1337
637	2349	1333
638	2352	1329
639	2356	1325
640	2359	1321
641	2363	1317
642	2366	1314
643	2370	1310
644	2373	1306
645	2377	1302
646	2380	1298
647	2383	1294
648	2386	1290
649	2390	1287
650	2393	1283
651	2397	1279
652	2400	1275
653	2403	1271
654	2407	1267
655	2410	1264
656	2413	1260
657	2417	1256
658	2420	1252
659	2423	1248
660	2427	1244
661	2429	1240
662	2432	1236
663	2435	1232
664	2439	1228
665	2442	1225
666	2446	1221
667	2449	1217
668	2451	1213
669	2455	1209
670	2458	1205
671	2461	1201
672	2464	1197
673	2467	1193
674	2470	1189
675	2473	1185
676	2477	1182
677	2480	1178
678	2484	1174
679	2487	1170
680	2491	1166
681	2494	1162
682	2497	1159
683	2500	1155
684	2503	1151
685	2506	1147
686	2509	1143
687	2512	1139
688	2516	1135
689	2519	1131
690	2522	1128
691	2525	1124
692	2528	1120
693	2531	1116
694	2534	1112
695	2538	1108
696	2540	1104
697	2543	1100
698	2546	1096
699	2549	1092
700	2552	1088
701	2555	1084
702	2558	1080
703	2561	1076
704	2564	1072
705	2566	1068
706	2570	1065
707	2574	1061
708	2577	1057
709	2580	1053
710	2583	1049
711	2587	1046
712	2590	1042
713	2593	1038
714	2596	1034
715	2599	1030
716	2602	1027
717	2605	1023
718	2608	1019
719	2611	1015
720	2614	1011
721	2617	1007
722	2620	1004
723	2623	1000
724	2627	996
725	2630	992
726	2633	988
727	2636	985
728	2639	981
729	2643	977
730	2646	973
731	2649	969
732	2653	966
733	2656	962
734	2659	958
735	2662	954
736	2665	951
737	2669	947
738	2672	943
739	2676	940
740	2679	936
741	2683	933
742	2687	929
743	2691	926
744	2694	922
745	2697	918
746	2701	914
747	2704	911
748	2707	907
749	2710	903
750	2713	899
751	2716	896
752	2720	892
753	2723	888
754	2726	884
755	2730	881
756	2733	877
757	2737	873
758	2740	870
759	2743	866
760	2746	862
761	2750	858
762	2753	855
763	2756	851
764	2759	847
765	2763	844
766	2767	840
767	2770	836
768	2773	833
769	2776	829
770	2780	825
771	2784	822
772	2787	818
773	2791	814
774	2794	811
775	2798	807
776	2801	803
777	2804	800
778	2807	796
779	2810	792
780	2814	789
781	2817	785
782	2820	781
783	2824	778
784	2827	774
785	2831	770
786	2834	767
787	2837	763
788	2840	759
789	2844	756
790	2848	752
791	2851	748
792	2854	745
793	2857	741
794	2861	737
795	2864	734
796	2867	730
797	2870	726
798	2873	722
799	2877	719
800	2881	715
801	2884	712
802	2887	708
803	2890	704
804	2893	701
805	2897	697
806	2900	693
807	2904	690
808	2907	686
809	2911	682
810	2914	679
811	2917	675
812	2921	671
813	2924	668
814	2928	664
815	2931	660
816	2934	657
817	2937	653
818	2941	650
819	2944	646
820	2947	642
821	2950	638
822	2953	635
823	2957	631
824	2961	628
825	2964	624
826	2967	620
827	2970	617
828	2975	613
829	2978	610
830	2981	606
831	2985	602
832	2988	599
833	2992	595
834	2995	592
835	2999	588
836	3002	584
837	3005	581
838	3009	577
839	3012	573
840	3015	570
841	3019	566
842	3022	562
843	3026	559
844	3029	555
845	3032	552
846	3035	548
847	3039	544
848	3042	541
849	3046	537
850	3049	533
851	3052	530
852	3055	526
853	3059	523
854	3062	519
855	3065	515
856	3068	512
857	3072	508
858	3075	504
859	3078	501
860	3082	497
861	3085	493
862	3089	490
863	3093	486
864	3096	483
865	3099	479
866	3103	476
867	3106	472
868	3110	468
869	3113	465
870	3116	461
871	3120	458
872	3123	454
873	3126	450
874	3130	447
875	3133	443
876	3137	440
877	3140	436
878	3143	432
879	3146	429
880	3150	425
881	3153	421
882	3156	418
883	3160	414
884	3163	411
885	3167	407
886	3170	403
887	3173	400
888	3176	396
889	3180	393
890	3184	389
891	3187	385
892	3190	382
893	3193	378
894	3196	375
895	3200	371
896	3204	367
897	3209	364
898	3213	361
899	3218	357
900	3223	354
901	3227	350
902	3232	347
903	3237	343
904	3241	340
905	3245	336
906	3250	333
907	3254	329
908	3258	326
909	3262	322
910	3267	319
911	3271	315
912	3275	312
913	3279	308
914	3283	305
915	3288	301
916	3291	297
917	3295	294
918	3299	290
919	3304	287
920	3308	283
921	3312	280
922	3316	276
923	3320	273
924	3324	269
925	3328	265
926	3332	262
927	3336	258
928	3339	255
929	3343	251
930	3348	248
931	3351	244
932	3355	240
933	3359	237
934	3363	233
935	3367	230
936	3371	226
937	3374	223
938	3379	219
939	3383	215
940	3387	212
941	3391	208
942	3396	205
943	3400	201
944	3404	198
945	3408	194
946	3412	191
947	3417	187
948	3421	183
949	3424	180
950	3429	176
951	3433	173
952	3436	169
953	3440	165
954	3444	162
955	3448	158
956	3451	155
957	3455	151
