iter	RMSE
0	0.2853844767
1	0.2720431994
2	0.2595106201
3	0.2476214823
4	0.2367458561
5	0.2265292058
6	0.2168413474
7	0.2077303921
8	0.1993283338
9	0.191391914
10	0.1838463561
11	0.1768836945
12	0.1704068885
13	0.1644838259
14	0.1590822696
15	0.1536973399
16	0.148775577
17	0.144068128
18	0.1396142164
19	0.1356425802
20	0.1320460472
21	0.1284565734
22	0.1254825649
23	0.1229305723
24	0.1200697499
25	0.1177109357
26	0.1153108738
27	0.1131775725
28	0.1112311693
29	0.1092461251
30	0.1075973018
31	0.1061464919
32	0.1047616515
33	0.1032807196
34	0.1019623806
35	0.1006296075
36	0.09944577429
37	0.09827363434
38	0.09734103411
39	0.09630728488
40	0.09549098968
41	0.09474380393
42	0.0940065449
43	0.09336306769
44	0.09282422215
45	0.09214272241
46	0.09167235682
47	0.09122114274
48	0.09052226258
49	0.09012524682
50	0.08979800535
51	0.08930938964
52	0.08899687219
53	0.08854352846
54	0.0882306734
55	0.08793135946
56	0.0875434696
57	0.08723894883
58	0.08705010832
59	0.0868431173
60	0.08662688246
61	0.0863682799
62	0.08616385319
63	0.08598471246
64	0.08582891321
65	0.08545398464
66	0.08534378326
67	0.08502432489
68	0.08486328337
69	0.08465760039
70	0.08451370993
71	0.08424721859
72	0.08400116442
73	0.08386257131
74	0.08365633299
75	0.08353516052
76	0.0834103145
77	0.08314468684
78	0.08305496402
79	0.08295846481
80	0.08283264178
81	0.08271771406
82	0.08264121866
83	0.08253555319
84	0.08223660691
85	0.08215011649
86	0.08193553873
87	0.08179246883
88	0.08170167402
89	0.08159271124
90	0.08153207802
91	0.08130893934
92	0.08124790376
93	0.08115325069
94	0.08110123307
95	0.08104517814
96	0.08086744198
97	0.08073261452
98	0.08057978697
99	0.08039041467
100	0.08027003422
101	0.0801764119
102	0.07991797759
103	0.07987133012
104	0.07972673598
105	0.07965363303
106	0.07958712174
107	0.07953064229
108	0.07945247088
109	0.0792564501
110	0.07919443477
111	0.07909495469
112	0.0789668923
113	0.07888170768
114	0.078730397
115	0.07867755463
116	0.0786063784
117	0.07854032321
118	0.07847999167
119	0.07838881397
120	0.07833104875
121	0.07830387394
122	0.07819038929
123	0.07807221641
124	0.07798804136
125	0.07787365837
126	0.0778111932
127	0.07776728036
128	0.07770191031
129	0.07756947305
130	0.07754071765
131	0.07746969904
132	0.07741101908
133	0.07738899469
134	0.07733288053
135	0.07728774185
136	0.07719747469
137	0.07717230639
138	0.07706605729
139	0.07698902372
140	0.07692438847
141	0.07688826449
142	0.07682489671
143	0.07676012838
144	0.0766343574
145	0.07653361727
146	0.07647010496
147	0.07643262358
148	0.07639353362
149	0.07634830781
150	0.07625456794
151	0.0761931551
152	0.07609469805
153	0.07600578687
154	0.07596004285
155	0.07593071153
156	0.07588953933
157	0.07579563194
158	0.07574652283
159	0.07563914697
160	0.07555024599
161	0.07551792674
162	0.07543748099
163	0.07538021053
164	0.07529347761
165	0.07524178109
166	0.07520453321
167	0.07514169775
168	0.0750638255
169	0.07499181538
170	0.07495843749
171	0.07488062113
172	0.074777424
173	0.07471647556
174	0.07461661628
175	0.07454998977
176	0.07449736743
177	0.07443099785
178	0.0743564085
179	0.074324195
180	0.07428742288
181	0.07423165599
182	0.07417709647
183	0.07410810477
184	0.07404311473
185	0.07395057401
186	0.07388216041
187	0.0738270014
188	0.07375272907
189	0.0736932025
190	0.07365653671
191	0.07360613009
192	0.07353919495
193	0.07347349526
194	0.07341744395
195	0.0733537404
196	0.07328612455
197	0.07323786742
198	0.07318216565
199	0.07312300997
200	0.07306045613
201	0.07302814583
202	0.07293977226
203	0.07289042346
204	0.07282849158
205	0.07276837805
206	0.0727255658
207	0.07268242264
208	0.07263796659
209	0.07258252809
210	0.07253388138
